[2025-05-14 11:22:21,574] INFO: Epoch 1 | Step 71/98 | Loss: 2.4105 | Acc: 14.65%
[2025-05-14 11:22:21,575] DEBUG: Processing batch 72/98 for epoch 1
[2025-05-14 11:22:21,749] DEBUG: Processing batch 73/98 for epoch 1
[2025-05-14 11:22:21,922] DEBUG: Processing batch 74/98 for epoch 1
[2025-05-14 11:22:22,102] DEBUG: Processing batch 75/98 for epoch 1
[2025-05-14 11:22:22,278] DEBUG: Processing batch 76/98 for epoch 1
[2025-05-14 11:22:22,457] DEBUG: Processing batch 77/98 for epoch 1
[2025-05-14 11:22:22,634] DEBUG: Processing batch 78/98 for epoch 1
[2025-05-14 11:22:22,813] DEBUG: Processing batch 79/98 for epoch 1
[2025-05-14 11:22:22,992] DEBUG: Processing batch 80/98 for epoch 1
[2025-05-14 11:22:23,171] DEBUG: Processing batch 81/98 for epoch 1
[2025-05-14 11:22:23,347] INFO: Epoch 1 | Step 81/98 | Loss: 2.3775 | Acc: 15.22%
[2025-05-14 11:22:23,348] DEBUG: Processing batch 82/98 for epoch 1
[2025-05-14 11:22:23,527] DEBUG: Processing batch 83/98 for epoch 1
[2025-05-14 11:22:23,702] DEBUG: Processing batch 84/98 for epoch 1
[2025-05-14 11:22:23,874] DEBUG: Processing batch 85/98 for epoch 1
[2025-05-14 11:22:24,058] DEBUG: Processing batch 86/98 for epoch 1
[2025-05-14 11:22:24,232] DEBUG: Processing batch 87/98 for epoch 1
[2025-05-14 11:22:24,413] DEBUG: Processing batch 88/98 for epoch 1
[2025-05-14 11:22:24,585] DEBUG: Processing batch 89/98 for epoch 1
[2025-05-14 11:22:24,756] DEBUG: Processing batch 90/98 for epoch 1
[2025-05-14 11:22:24,945] DEBUG: Processing batch 91/98 for epoch 1
[2025-05-14 11:22:25,124] INFO: Epoch 1 | Step 91/98 | Loss: 2.3481 | Acc: 15.67%
[2025-05-14 11:22:25,125] DEBUG: Processing batch 92/98 for epoch 1
[2025-05-14 11:22:25,296] DEBUG: Processing batch 93/98 for epoch 1
[2025-05-14 11:22:25,470] DEBUG: Processing batch 94/98 for epoch 1
[2025-05-14 11:22:25,649] DEBUG: Processing batch 95/98 for epoch 1
[2025-05-14 11:22:25,820] DEBUG: Processing batch 96/98 for epoch 1
[2025-05-14 11:22:25,994] DEBUG: Processing batch 97/98 for epoch 1
[2025-05-14 11:22:26,165] DEBUG: Processing batch 98/98 for epoch 1
[2025-05-14 11:22:26,466] INFO: Epoch 1 training completed
[2025-05-14 11:22:49,597] INFO: Test Loss: 1.9551 | Test Acc: 28.03%
[2025-05-14 11:22:49,771] INFO: New best accuracy: 28.03%, model saved.
[2025-05-14 11:22:50,091] DEBUG: Processing batch 1/98 for epoch 2
[2025-05-14 11:22:50,293] INFO: Epoch 2 | Step 1/98 | Loss: 2.0866 | Acc: 22.07%
[2025-05-14 11:22:50,294] DEBUG: Processing batch 2/98 for epoch 2
[2025-05-14 11:22:50,496] DEBUG: Processing batch 3/98 for epoch 2
[2025-05-14 11:22:50,680] DEBUG: Processing batch 4/98 for epoch 2
[2025-05-14 11:22:50,862] DEBUG: Processing batch 5/98 for epoch 2
[2025-05-14 11:22:51,046] DEBUG: Processing batch 6/98 for epoch 2
[2025-05-14 11:22:51,220] DEBUG: Processing batch 7/98 for epoch 2
[2025-05-14 11:22:51,401] DEBUG: Processing batch 8/98 for epoch 2
[2025-05-14 11:22:51,588] DEBUG: Processing batch 9/98 for epoch 2
[2025-05-14 11:22:51,786] DEBUG: Processing batch 10/98 for epoch 2
[2025-05-14 11:22:51,966] DEBUG: Processing batch 11/98 for epoch 2
[2025-05-14 11:22:52,145] INFO: Epoch 2 | Step 11/98 | Loss: 2.0860 | Acc: 21.00%
[2025-05-14 11:22:52,145] DEBUG: Processing batch 12/98 for epoch 2
[2025-05-14 11:22:52,323] DEBUG: Processing batch 13/98 for epoch 2
[2025-05-14 11:22:52,503] DEBUG: Processing batch 14/98 for epoch 2
[2025-05-14 11:22:52,679] DEBUG: Processing batch 15/98 for epoch 2
[2025-05-14 11:22:52,861] DEBUG: Processing batch 16/98 for epoch 2
[2025-05-14 11:22:53,043] DEBUG: Processing batch 17/98 for epoch 2
[2025-05-14 11:22:53,220] DEBUG: Processing batch 18/98 for epoch 2
[2025-05-14 11:22:53,401] DEBUG: Processing batch 19/98 for epoch 2
[2025-05-14 11:22:53,577] DEBUG: Processing batch 20/98 for epoch 2
[2025-05-14 11:22:53,758] DEBUG: Processing batch 21/98 for epoch 2
[2025-05-14 11:22:53,934] INFO: Epoch 2 | Step 21/98 | Loss: 2.0841 | Acc: 20.94%
[2025-05-14 11:22:53,935] DEBUG: Processing batch 22/98 for epoch 2
[2025-05-14 11:22:54,117] DEBUG: Processing batch 23/98 for epoch 2
[2025-05-14 11:22:54,291] DEBUG: Processing batch 24/98 for epoch 2
[2025-05-14 11:22:54,478] DEBUG: Processing batch 25/98 for epoch 2
