[2025-05-14 17:16:20,700] INFO: Epoch 1 | Step 71/98 | Loss: 0.7453 | Acc: 74.00%
[2025-05-14 17:16:20,700] DEBUG: Processing batch 72/98 for epoch 1
[2025-05-14 17:16:20,882] DEBUG: Processing batch 73/98 for epoch 1
[2025-05-14 17:16:21,068] DEBUG: Processing batch 74/98 for epoch 1
[2025-05-14 17:16:21,255] DEBUG: Processing batch 75/98 for epoch 1
[2025-05-14 17:16:21,431] DEBUG: Processing batch 76/98 for epoch 1
[2025-05-14 17:16:21,612] DEBUG: Processing batch 77/98 for epoch 1
[2025-05-14 17:16:21,786] DEBUG: Processing batch 78/98 for epoch 1
[2025-05-14 17:16:21,961] DEBUG: Processing batch 79/98 for epoch 1
[2025-05-14 17:16:22,139] DEBUG: Processing batch 80/98 for epoch 1
[2025-05-14 17:16:22,315] DEBUG: Processing batch 81/98 for epoch 1
[2025-05-14 17:16:22,496] INFO: Epoch 1 | Step 81/98 | Loss: 0.7452 | Acc: 73.91%
[2025-05-14 17:16:22,497] DEBUG: Processing batch 82/98 for epoch 1
[2025-05-14 17:16:22,672] DEBUG: Processing batch 83/98 for epoch 1
[2025-05-14 17:16:22,852] DEBUG: Processing batch 84/98 for epoch 1
[2025-05-14 17:16:23,039] DEBUG: Processing batch 85/98 for epoch 1
[2025-05-14 17:16:23,215] DEBUG: Processing batch 86/98 for epoch 1
[2025-05-14 17:16:23,394] DEBUG: Processing batch 87/98 for epoch 1
[2025-05-14 17:16:23,570] DEBUG: Processing batch 88/98 for epoch 1
[2025-05-14 17:16:23,742] DEBUG: Processing batch 89/98 for epoch 1
[2025-05-14 17:16:23,912] DEBUG: Processing batch 90/98 for epoch 1
[2025-05-14 17:16:24,084] DEBUG: Processing batch 91/98 for epoch 1
[2025-05-14 17:16:24,262] INFO: Epoch 1 | Step 91/98 | Loss: 0.7467 | Acc: 73.84%
[2025-05-14 17:16:24,262] DEBUG: Processing batch 92/98 for epoch 1
[2025-05-14 17:16:24,436] DEBUG: Processing batch 93/98 for epoch 1
[2025-05-14 17:16:24,608] DEBUG: Processing batch 94/98 for epoch 1
[2025-05-14 17:16:24,780] DEBUG: Processing batch 95/98 for epoch 1
[2025-05-14 17:16:24,952] DEBUG: Processing batch 96/98 for epoch 1
[2025-05-14 17:16:25,132] DEBUG: Processing batch 97/98 for epoch 1
[2025-05-14 17:16:25,304] DEBUG: Processing batch 98/98 for epoch 1
[2025-05-14 17:16:25,521] INFO: Epoch 1 training completed
[2025-05-14 17:16:48,699] INFO: Test Loss: 0.5543 | Test Acc: 82.31%
[2025-05-14 17:16:48,877] INFO: New best accuracy: 82.31%, model saved.
[2025-05-14 17:16:49,204] DEBUG: Processing batch 1/98 for epoch 2
[2025-05-14 17:16:49,420] INFO: Epoch 2 | Step 1/98 | Loss: 0.7166 | Acc: 74.61%
[2025-05-14 17:16:49,421] DEBUG: Processing batch 2/98 for epoch 2
[2025-05-14 17:16:49,617] DEBUG: Processing batch 3/98 for epoch 2
[2025-05-14 17:16:49,796] DEBUG: Processing batch 4/98 for epoch 2
[2025-05-14 17:16:49,987] DEBUG: Processing batch 5/98 for epoch 2
[2025-05-14 17:16:50,190] DEBUG: Processing batch 6/98 for epoch 2
[2025-05-14 17:16:50,383] DEBUG: Processing batch 7/98 for epoch 2
[2025-05-14 17:16:50,564] DEBUG: Processing batch 8/98 for epoch 2
[2025-05-14 17:16:50,757] DEBUG: Processing batch 9/98 for epoch 2
[2025-05-14 17:16:50,956] DEBUG: Processing batch 10/98 for epoch 2
[2025-05-14 17:16:51,134] DEBUG: Processing batch 11/98 for epoch 2
[2025-05-14 17:16:51,314] INFO: Epoch 2 | Step 11/98 | Loss: 0.7419 | Acc: 74.01%
[2025-05-14 17:16:51,315] DEBUG: Processing batch 12/98 for epoch 2
[2025-05-14 17:16:51,500] DEBUG: Processing batch 13/98 for epoch 2
[2025-05-14 17:16:51,687] DEBUG: Processing batch 14/98 for epoch 2
[2025-05-14 17:16:51,863] DEBUG: Processing batch 15/98 for epoch 2
[2025-05-14 17:16:52,042] DEBUG: Processing batch 16/98 for epoch 2
[2025-05-14 17:16:52,225] DEBUG: Processing batch 17/98 for epoch 2
[2025-05-14 17:16:52,405] DEBUG: Processing batch 18/98 for epoch 2
[2025-05-14 17:16:52,584] DEBUG: Processing batch 19/98 for epoch 2
[2025-05-14 17:16:52,765] DEBUG: Processing batch 20/98 for epoch 2
[2025-05-14 17:16:52,943] DEBUG: Processing batch 21/98 for epoch 2
[2025-05-14 17:16:53,120] INFO: Epoch 2 | Step 21/98 | Loss: 0.7372 | Acc: 74.03%
[2025-05-14 17:16:53,120] DEBUG: Processing batch 22/98 for epoch 2
[2025-05-14 17:16:53,299] DEBUG: Processing batch 23/98 for epoch 2
[2025-05-14 17:16:53,487] DEBUG: Processing batch 24/98 for epoch 2
[2025-05-14 17:16:53,663] DEBUG: Processing batch 25/98 for epoch 2
[2025-05-14 17:16:53,843] DEBUG: Processing batch 26/98 for epoch 2
[2025-05-14 17:16:54,018] DEBUG: Processing batch 27/98 for epoch 2
[2025-05-14 17:16:54,203] DEBUG: Processing batch 28/98 for epoch 2
[2025-05-14 17:16:54,394] DEBUG: Processing batch 29/98 for epoch 2
[2025-05-14 17:16:54,572] DEBUG: Processing batch 30/98 for epoch 2
[2025-05-14 17:16:54,750] DEBUG: Processing batch 31/98 for epoch 2
[2025-05-14 17:16:54,929] INFO: Epoch 2 | Step 31/98 | Loss: 0.7372 | Acc: 74.21%
[2025-05-14 17:16:54,930] DEBUG: Processing batch 32/98 for epoch 2
[2025-05-14 17:16:55,116] DEBUG: Processing batch 33/98 for epoch 2
[2025-05-14 17:16:55,291] DEBUG: Processing batch 34/98 for epoch 2
[2025-05-14 17:16:55,476] DEBUG: Processing batch 35/98 for epoch 2
[2025-05-14 17:16:55,654] DEBUG: Processing batch 36/98 for epoch 2
[2025-05-14 17:16:55,833] DEBUG: Processing batch 37/98 for epoch 2
[2025-05-14 17:16:56,010] DEBUG: Processing batch 38/98 for epoch 2
[2025-05-14 17:16:56,187] DEBUG: Processing batch 39/98 for epoch 2
[2025-05-14 17:16:56,367] DEBUG: Processing batch 40/98 for epoch 2
